Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
142 South Ferry,232 Borough Hall,A02 Inwood - 207 St,D01 Norwood - 205 St,247 Flatbush Av - Brooklyn College,N10 86 St,D41 Ocean Pkwy
139 Rector St,420 Bowling Green,A03 Dyckman St,D03 Bedford Park Blvd,246 Newkirk Av,N09 Avenue U,D40 Brighton Beach
138 WTC Cortlandt,M22 Fulton St,A05 190 St,D04 Kingsbridge Rd,245 Beverly Rd,N08 Kings Hwy,D39 Sheepshead Bay
137 Chambers St,M23 Broad St,A06 181 St,D05 Fordham Rd,244 Church Av,N07 Bay Pkwy,D38 Neck Rd
136 Franklin St,640 Brooklyn Bridge - City Hall,A07 175 St,D06 182-183 Sts,243 Winthrop St,N06 20 Av,D37 Avenue U
135 Canal St,Q01 Canal St,A10 163 St - Amsterdam Av,D07 Tremont Av,242 Sterling St,N05 18 Av,D35 Kings Hwy
134 Houston St,638 Spring St,A11 155 St,D08 174-175 Sts,241 President St,N04 New Utrecht Av,D34 Avenue M
133 Christopher St - Sheridan Sq,637 Bleecker St,A12 145 St,D09 170 St,249 Kingston Av,N03 Fort Hamilton Pkwy,D33 Avenue J
132 14 St,636 Astor Pl,A14 135 St,D10 167 St,250 Crown Hts - Utica Av,N02 8 Av,D32 Avenue H
131 18 St,635 14 St,A15 125 St,Q05 96 St,251 Sutter Av - Rutland Rd,R45 Bay Ridge - 95 St,D31 Newkirk Plaza
130 23 St,634 23 St,A16 116 St,Q04 86 St,252 Saratoga Av,R44 86 St,D30 Cortelyou Rd
129 28 St,633 28 St,A17 Cathedral Pkwy (110 St),Q03 72 St,253 Rockaway Av,R43 77 St,D29 Beverley Rd
128 34 St - Penn Station,632 33 St,A18 103 St,B06 Roosevelt Island,256 Van Siclen Av,R42 Bay Ridge Av,D28 Church Av
127 Times Sq - 42 St,631 Grand Central - 42 St,A19 96 St,B04 21 St - Queensbridge,257 New Lots Av,R41 59 St,D27 Parkside Av
126 50 St,630 51 St,A20 86 St,R08 39 Av,L29 Canarsie - Rockaway Pkwy,R40 53 St,D26 Prospect Park
125 59 St - Columbus Circle,629 59 St,A21 81 St - Museum of Natural History,R06 36 Av,L28 E 105 St,R39 45 St,239 Franklin Av
124 66 St - Lincoln Center,628 68 St - Hunter College,A22 72 St,R05 Broadway,L27 New Lots Av,R36 36 St,238 Eastern Pkwy - Brooklyn Museum
123 72 St,627 77 St,A25 50 St,R04 30 Av,L26 Livonia Av,R35 25 St,237 Grand Army Plaza
122 79 St,626 86 St,A27 42 St - Port Authority Bus Terminal,R03 Astoria Blvd,L25 Sutter Av,R34 Prospect Av,D25 7 Av
121 86 St,625 96 St,726 34 St - 11 Av,R01 Astoria - Ditmars Blvd,L24 Atlantic Av,R32 Union St,236 Bergen St
120 96 St,624 103 St,A28 34 St - Penn Station,G20 36 St,L21 Bushwick Av - Aberdeen St,G35 Clinton - Washington Avs,235 Atlantic Av - Barclays Ctr
119 103 St,623 110 St,A30 23 St,G19 Steinway St,L20 Wilson Av,G34 Classon Av,234 Nevins St
118 Cathedral Pkwy,622 116 St,A31 14 st,G18 46 St,L19 Halsey St,G33 Bedford - Nostrand Avs,R30 DeKalb Av
117 116 St - Columbia University,621 125 St,A32 W 4 St,G16 Northern Blvd,L17 Myrtle - Wyckoff Avs,G32 Myrtle - Willoughby Avs,233 Hoyt St
116 125 St,416 138 St - Grand Concourse,A33 Spring St,G15 65 St,L16 DeKalb Av,G31 Flushing Av,F20 Bergen St
115 137 St - City College,302 145 St,A34 Canal St,710 74 St - Broadway,L15 Jefferson St,G30 Broadway,F21 Carroll St
114 145 St,301 Harlem - 148 St,A36 Chambers St,709 82 St - Jackson Hts,L14 Morgan Av,G29 Metropolitan Av,F22 Smith - 9 Sts
113 157 St,414 161 St - Yankee Stadium,A40 High St,708 90 St - Elmhurst Av,L13 Montrose Av,G28 Nassau Av,F23 4 Av
112 168 St - Washington Hts,413 167 St,A41 Jay St - MetroTech,707 Junction Blvd,L12 Grand St,G26 Greenpoint Av,F24 7 Av
111 181 St,412 170 St,A42 Hoyt - Schermerhorn Sts,706 103 St - Corona Plaza,L11 Graham Av,G24 21 St,F25 15 St - Prospect Park
110 191 St,411 Mt Eden Av,A43 Lafayette Av,705 111 St,L08 Bedford Av,G22 Court Sq,F26 Fort Hamilton Pkwy
109 Dyckman St,410 176 St,A44 Clinton - Washington Avs,702 Mets - Willets Point,L06 1 Av,G21 Queens Plaza,F27 Church Av
108 207 St,409 Burnside Av,A45 Franklin Av,701 Flushing - Main St,L05 3 Av,718 Queensboro Plaza,F29 Ditmas Av
107 215 St,408 183 St,A46 Nostrand Av,G05 Jamaica Center,F14 2 Av,D15 47-50 Sts - Rockefeller Ctr,F30 18 Av
106 Marble Hill - 225 St,407 Fordham Rd,A47 Kingston - Throop Avs,G06 Sutphin Blvd - Archer Av - JFK Airport,F15 Delancey St,D16 42 St - Bryant Pk,F31 Avenue I
104 231 St,406 Kingsbridge Rd,A48 Utica Av,G07 Jamaica - Van Wyck,M19 Bowery,D17 34 St - Herald Sq,F32 Bay Pkwy
103 238 St,405 Bedford Park Blvd - Lehman College,A49 Ralph Av,F01 Jamaica - 179 St,D22 Grand St,R18 28 St,F33 Avenue N
101 Van Cortlandt Park - 242 St,402 Mosholu Pkwy,A50 Rockaway Av,F02 169 St,F16 East Broadway,R19 23 St,F34 Avenue P
201 Wakefield - 241 St,401 Woodlawn,J27 Broadway Jct,F03 Parsons Blvd,F18 York St,D18 23 St,F35 Kings Hwy
204 Nereid Av,501 Eastchester - Dyre Av,A52 Liberty Av,F04 Sutphin Blvd,M16 Marcy Av,D19 14 St,F36 Avenue U
205 233 St,502 Baychester Av,A53 Van Siclen Av,F05 Briarwood - Van Wyck Blvd,M14 Hewes St,,F38 Avenue X
206 225 St,503 Gun Hill Rd,A54 Shepherd Av,F06 Kew Gardens - Union Tpke,M13 Lorimer St,,F39 Neptune Av
207 219 St,504 Pelham Pkwy,A55 Euclid Av,F07 75 Av,M12 Flushing Av,,D43 Coney Island - Stillwell Av
208 Gun Hill Rd,505 Morris Park,A57 Grant Av,G08 Forest Hills - 71 Av,M11 Myrtle Av,,D42 W 8 St - NY Aquarium
209 Burke Av,601 Pelham Bay Park,A59 80 St,G09 67 Av,J31 Kosciuszko St,,B23 Bay 50 St
210 Allerton Av,602 Buhre Av,A60 88 St,G10 63 Dr - Rego Park,J30 Gates Av,,B22 25 Av
211 Pelham Pkwy,603 Middletown Rd,A61 Rockaway Blvd,G11 Woodhaven Blvd,J29 Halsey St,,B21 Bay Pkwy
212 Bronx Park East,604 Westchester Sq - E Tremont Av,A63 104 St,G12 Grand Av - Newtown,J28 Chauncey St,,B20 20 Av
213 E 180 St,606 Zerega Av,A64 111 St,G13 Elmhurst Av,M10 Central Av,,B19 18 Av
214 West Farms Sq - E Tremont Av,607 Castle Hill Av,A65 Ozone Park - Lefferts Blvd,711 69 St,M09 Knickerbocker Av,,B18 79 St
215 174 St,608 Parkchester,J12 121 St,712 Woodside - 61 St,M06 Seneca Av,,B17 71 St
216 Freeman St,609 St Lawrence Av,J13 111 St,713 52 St,M05 Forest Av,,B16 62 St
217 Simpson St,610 Morrison Av- Sound View,J14 104 St,714 46 St,M04 Fresh Pond Rd,,B15 55 St
218 Intervale Av,611 Elder Av,J15 Woodhaven Blvd,715 40 St,M01 Middle Village - Metropolitan Av,,B14 50 St
219 Prospect Av,612 Whitlock Av,J16 85 St - Forest Pkwy,716 33 St,,,B13 Fort Hamilton Pkwy
220 Jackson Av,613 Hunts Point Av,J17 75 St,720 Hunters Point Av,,,B12 9 Av
221 3 Av - 149 St,614 Longwood Av,J19 Cypress Hills,721 Vernon Blvd - Jackson Av,,,
222 149 St - Grand Concourse,615 E 149 St,J20 Crescent St,,,,
224 135 St,616 E 143 St - St Mary's St,J21 Norwood Av,,,,
225 125 St,617 Cypress Av,J22 Cleveland St,,,,
226 116 St,618 Brook Av,J23 Van Siclen Av,,,,
227 Central Park North (110 St),619 3 Av - 138 St,J24 Alabama Av,,,,